auction_date,security_type,security_term,tenor_group
1993-05-13,Bond,29-Year 9-Month,30Y
1993-05-26,Note,5-Year,5Y
1993-06-23,Note,5-Year,5Y
1993-07-28,Note,5-Year,5Y
1993-08-11,Note,10-Year,10Y
1993-08-12,Bond,30-Year,30Y
1993-08-25,Note,5-Year,5Y
1993-09-22,Note,5-Year,5Y
1993-10-27,Note,5-Year,5Y
1993-11-10,Note,9-Year 9-Month,10Y
1993-11-23,Note,5-Year,5Y
1993-12-22,Note,5-Year,5Y
1994-01-26,Note,5-Year,5Y
1994-02-09,Note,10-Year,10Y
1994-02-10,Bond,29-Year 6-Month,30Y
1994-02-24,Note,5-Year,5Y
1994-03-23,Note,5-Year,5Y
1994-04-28,Note,5-Year,5Y
1994-05-11,Note,10-Year,10Y
1994-05-25,Note,5-Year,5Y
1994-06-22,Note,5-Year,5Y
1994-07-27,Note,5-Year,5Y
1994-08-10,Note,10-Year,10Y
1994-08-11,Bond,30-Year 3-Month,30Y
1994-08-24,Note,5-Year,5Y
1994-09-28,Note,5-Year,5Y
1994-10-26,Note,5-Year,5Y
1994-11-09,Note,10-Year,10Y
1994-11-22,Note,5-Year,5Y
1994-12-22,Note,5-Year,5Y
1995-01-25,Note,5-Year,5Y
1995-02-08,Note,10-Year,10Y
1995-02-09,Bond,30-Year,30Y
1995-02-23,Note,5-Year,5Y
1995-03-29,Note,5-Year,5Y
1995-04-26,Note,5-Year,5Y
1995-05-10,Note,10-Year,10Y
1995-05-24,Note,5-Year,5Y
1995-06-28,Note,5-Year,5Y
1995-07-26,Note,5-Year,5Y
1995-08-09,Note,10-Year,10Y
1995-08-10,Bond,30-Year,30Y
1995-08-23,Note,5-Year,5Y
1995-09-27,Note,5-Year,5Y
1995-10-25,Note,5-Year,5Y
1995-11-21,Note,10-Year,10Y
1995-11-29,Note,5-Year,5Y
1995-12-21,Note,5-Year,5Y
1996-01-24,Note,5-Year,5Y
1996-02-07,Note,10-Year,10Y
1996-02-08,Bond,30-Year,30Y
1996-02-28,Note,5-Year,5Y
1996-04-09,Note,5-Year,5Y
1996-04-24,Note,5-Year,5Y
1996-05-08,Note,10-Year,10Y
1996-05-30,Note,5-Year,5Y
1996-06-26,Note,5-Year,5Y
1996-07-09,Note,10-Year,10Y
1996-07-24,Note,5-Year,5Y
1996-08-07,Note,9-Year 11-Month,10Y
1996-08-08,Bond,30-Year,30Y
1996-08-28,Note,5-Year,5Y
1996-09-26,Note,5-Year,5Y
1996-10-08,Note,10-Year,10Y
1996-10-23,Note,5-Year,5Y
1996-11-06,Note,9-Year 11-Month,10Y
1996-11-07,Bond,30-Year,30Y
1996-11-20,Note,5-Year,5Y
1996-12-19,Note,5-Year,5Y
1997-01-23,Note,5-Year,5Y
1997-02-12,Note,10-Year,10Y
1997-02-13,Bond,30-Year,30Y
1997-02-26,Note,5-Year,5Y
1997-03-26,Note,5-Year,5Y
1997-04-23,Note,5-Year,5Y
1997-05-07,Note,10-Year,10Y
1997-05-29,Note,5-Year,5Y
1997-06-25,Note,5-Year,5Y
1997-07-23,Note,5-Year,5Y
1997-08-06,Note,10-Year,10Y
1997-08-07,Bond,30-Year,30Y
1997-08-27,Note,5-Year,5Y
1997-09-24,Note,5-Year,5Y
1997-10-29,Note,5-Year,5Y
1997-11-05,Note,9-Year 9-Month,10Y
1997-11-06,Bond,30-Year,30Y
1997-11-25,Note,5-Year,5Y
1997-12-23,Note,5-Year,5Y
1998-01-28,Note,5-Year,5Y
1998-02-11,Note,10-Year,10Y
1998-02-12,Bond,29-Year 9-Month,30Y
1998-02-25,Note,5-Year,5Y
1998-03-25,Note,5-Year,5Y
1998-04-29,Note,5-Year,5Y
1998-05-13,Note,10-Year,10Y
1998-05-28,Note,5-Year,5Y
1998-06-24,Note,5-Year,5Y
1998-08-11,Note,5-Year,5Y
1998-08-12,Note,9-Year 9-Month,10Y
1998-08-13,Bond,30-Year,30Y
1998-11-03,Note,5-Year,5Y
1998-11-04,Note,10-Year,10Y
1998-11-05,Bond,30-Year,30Y
1999-02-09,Note,5-Year,5Y
1999-02-10,Note,9-Year 9-Month,10Y
1999-02-11,Bond,30-Year,30Y
1999-05-11,Note,5-Year,5Y
1999-05-12,Note,10-Year,10Y
1999-08-10,Note,5-Year,5Y
1999-08-11,Note,10-Year,10Y
1999-08-12,Bond,30-Year,30Y
1999-11-09,Note,5-Year,5Y
1999-11-10,Note,9-Year 9-Month,10Y
2000-02-08,Note,4-Year 9-Month,5Y
2000-02-09,Note,10-Year,10Y
2000-02-10,Bond,30-Year 3-Month,30Y
2000-05-09,Note,5-Year,5Y
2000-05-10,Note,9-Year 9-Month,10Y
2000-08-08,Note,4-Year 9-Month,5Y
2000-08-09,Note,10-Year,10Y
2000-08-10,Bond,29-Year 9-Month,30Y
2000-11-07,Note,5-Year,5Y
2000-11-08,Note,9-Year 9-Month,10Y
2001-02-06,Note,4-Year 9-Month,5Y
2001-02-07,Note,10-Year,10Y
2001-02-08,Bond,30-Year,30Y
2001-05-08,Note,5-Year,5Y
2001-05-09,Note,9-Year 9-Month,10Y
2001-08-07,Note,4-Year 9-Month,5Y
2001-08-08,Note,10-Year,10Y
2001-08-09,Bond,29-Year 6-Month,30Y
2001-10-04,Note,9-Year 10-Month,10Y
2001-11-06,Note,5-Year,5Y
2001-11-07,Note,9-Year 9-Month,10Y
2002-02-05,Note,4-Year 9-Month,5Y
2002-02-06,Note,10-Year,10Y
2002-05-07,Note,5-Year,5Y
2002-05-08,Note,9-Year 9-Month,10Y
2002-08-06,Note,5-Year,5Y
2002-08-07,Note,10-Year,10Y
2002-11-05,Note,5-Year,5Y
2002-11-06,Note,10-Year,10Y
2003-02-11,Note,5-Year,5Y
2003-02-12,Note,10-Year,10Y
2003-05-07,Note,5-Year,5Y
2003-05-08,Note,10-Year,10Y
2003-06-11,Note,4-Year 11-Month,5Y
2003-08-06,Note,5-Year,5Y
2003-08-07,Note,10-Year,10Y
2003-09-10,Note,5-Year,5Y
2003-09-11,Note,9-Year 11-Month,10Y
2003-10-08,Note,5-Year,5Y
2003-11-12,Note,5-Year,5Y
2003-11-13,Note,10-Year,10Y
2003-12-10,Note,5-Year,5Y
2003-12-11,Note,9-Year 11-Month,10Y
2004-01-07,Note,5-Year,5Y
2004-02-11,Note,5-Year,5Y
2004-02-12,Note,10-Year,10Y
2004-03-10,Note,5-Year,5Y
2004-03-11,Note,9-Year 11-Month,10Y
2004-04-06,Note,5-Year,5Y
2004-05-12,Note,5-Year,5Y
2004-05-13,Note,10-Year,10Y
2004-06-09,Note,5-Year,5Y
2004-06-10,Note,9-Year 11-Month,10Y
2004-07-07,Note,5-Year,5Y
2004-08-11,Note,5-Year,5Y
2004-08-12,Note,10-Year,10Y
2004-09-08,Note,5-Year,5Y
2004-09-09,Note,9-Year 11-Month,10Y
2004-10-06,Note,5-Year,5Y
2004-11-09,Note,5-Year,5Y
2004-11-10,Note,10-Year,10Y
2004-12-08,Note,5-Year,5Y
2004-12-09,Note,9-Year 11-Month,10Y
2005-01-12,Note,5-Year,5Y
2005-02-09,Note,5-Year,5Y
2005-02-10,Note,10-Year,10Y
2005-03-09,Note,5-Year,5Y
2005-03-10,Note,9-Year 11-Month,10Y
2005-04-13,Note,5-Year,5Y
2005-05-11,Note,5-Year,5Y
2005-05-12,Note,10-Year,10Y
2005-06-08,Note,5-Year,5Y
